Wall time,Step,Value
1527559102.3315241,22500,0.625
1527559312.4303,22600,0.515625
1527559526.559361,22700,0.65625
1527559728.389623,22800,0.609375
1527559932.1992788,22900,0.625
1527560138.9881551,23000,0.640625
1527560346.453539,23100,0.828125
1527560547.6598032,23200,0.546875
1527560758.9223945,23300,0.640625
1527560974.096558,23400,0.609375
1527561203.1084814,23500,0.671875
1527561422.9729643,23600,0.5625
1527561639.521619,23700,0.734375
1527561850.291917,23800,0.578125
1527562061.3311977,23900,0.640625
1527562270.3388686,24000,0.71875
1527562471.1407604,24100,0.609375
1527562672.5254424,24200,0.65625
1527562872.9619946,24300,0.609375
1527563062.587366,24400,0.65625
1527563256.3764682,24500,0.59375
1527563440.8911548,24600,0.578125
1527563638.0709128,24700,0.765625
1527563831.1250606,24800,0.5625
1527564016.3414981,24900,0.546875
1527564208.3822122,25000,0.609375
1527564393.5732002,25100,0.65625
1527564583.2633657,25200,0.828125
1527564770.9095385,25300,0.671875
1527564957.7620747,25400,0.734375
1527565142.797498,25500,0.75
1527565326.200436,25600,0.5625
1527565516.9218218,25700,0.703125
1527565700.6103704,25800,0.6875
1527565891.0754838,25900,0.703125
1527566089.4980311,26000,0.640625
1527566294.4593728,26100,0.640625
1527566492.9849856,26200,0.734375
1527566691.9983604,26300,0.65625
1527566888.8634257,26400,0.734375
1527567081.3831234,26500,0.625
1527567273.207103,26600,0.625
1527567462.780866,26700,0.71875
1527567649.260079,26800,0.640625
1527567839.403362,26900,0.734375
1527568022.5593073,27000,0.671875
1527568207.378686,27100,0.609375
1527568394.8706608,27200,0.609375
1527568581.0352407,27300,0.640625
1527568762.4664705,27400,0.59375
1527568942.9269927,27500,0.671875
1527569124.174307,27600,0.6875
1527569306.578551,27700,0.609375
1527569487.1259665,27800,0.703125
1527569664.638116,27900,0.625
1527569840.3151298,28000,0.59375
1527570022.700548,28100,0.71875
1527570210.2656078,28200,0.671875
1527570391.2473009,28300,0.6875
1527570576.6452546,28400,0.546875
1527570760.549253,28500,0.578125
1527570946.6109362,28600,0.75
1527571129.7142637,28700,0.6875
1527571312.9643643,28800,0.625
1527571504.1698985,28900,0.703125
1527571689.7625134,29000,0.640625
1527571880.162544,29100,0.671875
1527572070.1134987,29200,0.671875
1527572260.025245,29300,0.75
1527572464.663684,29400,0.625
1527572672.3378608,29500,0.609375
1527572879.6735363,29600,0.78125
1527573077.7604806,29700,0.671875
1527573277.8995187,29800,0.65625
1527573473.6287282,29900,0.71875
1527573673.1522503,30000,0.71875
1527573877.9868689,30100,0.671875
1527574083.4167693,30200,0.546875
1527574297.6487672,30300,0.640625
1527574515.6779068,30400,0.65625
1527574733.8113701,30500,0.703125
1527574945.8741403,30600,0.671875
1527575157.5744696,30700,0.640625
1527575369.327547,30800,0.6875
1527575574.3968098,30900,0.59375
1527575764.9385598,31000,0.71875
1527575960.8491433,31100,0.671875
1527576153.3439066,31200,0.5
1527576348.3972461,31300,0.546875
1527576534.7474768,31400,0.71875
1527576725.1538963,31500,0.5
1527576917.381203,31600,0.71875
1527577105.477709,31700,0.671875
1527577295.244754,31800,0.71875
1527577470.0971231,31900,0.609375
1527577642.7321835,32000,0.578125
1527577816.7999163,32100,0.75
1527577990.0512352,32200,0.71875
1527578163.7607906,32300,0.65625
1527578339.1269324,32400,0.78125
1527578516.2744298,32500,0.59375
1527578688.8462076,32600,0.59375
1527578854.4531422,32700,0.671875
1527579024.1801593,32800,0.546875
1527579196.8899906,32900,0.546875
1527579371.5028753,33000,0.6875
1527579542.728624,33100,0.609375
1527579717.4446456,33200,0.625
1527579891.7349353,33300,0.703125
1527580066.4422095,33400,0.75
