id,name,pic_size,pic
1,Bach,384,./media/images/bach.jpg
2,Beethoven,420,./media/images/beethoven.jpg
3,Brahms,819,./media/images/brahms.jpg
4,Chopin,593,./media/images/chopin.jpg
5,Haydn,317,./media/images/haydn.jpg
6,Mozart,506,./media/images/mozart.jpg
7,Schubert,649,./media/images/schubert.jpg
8,Tchaikovsky,488,./media/images/tchaikovsky.jpg
9,Vivaldi,347,./media/images/vivaldi.jpg
